sector,num_stocks_with_major_shareholders,total_investors,total_holding_value_idr
PROPERTY AND REAL ESTATE,93,661,340664652888411.0
TRANSPORTATION,60,412,169962276349154.0
BANK,48,283,1759075230650376.0
FOOD & BEVERAGES,46,302,284464370807935.0
"RESTAURANT, HOTEL & TOURISM",41,339,62264954424591.0
COAL MINING,33,229,1186064065503135.0
COMPUTER AND SERVICES,32,249,643563749517093.0
INVESTMENT COMPANY,29,270,358943265899751.0
PLANTATION,28,190,266391771162958.0
RETAIL TRADE,28,164,260356690443159.0
WHOLESALE (DURABLE & NON DURABLE GOODS),24,145,122375492620656.0
"ADVERTISING,PRINTING and MEDIA",24,158,111434345380600.0
METAL AND ALLIED PRODUCTS,24,168,35584707422824.0
HEALTH CARE,23,153,299582829573564.0
"TEXTILE, GARMENT",22,159,32273072826745.0
AUTOMOTIVE AND COMPONENTS,21,175,198971219909445.0
"OTHERS - TRADE, SERVICES & INVESTMENT",21,192,17680543836089.0
BUILDING CONSTRUCTION,20,143,22494283203641.0
TELECOMUNICATION,19,119,515252609015330.0
CONSTRUCTION,19,130,20701490664851.0
OTHER - BASIC INDUSTRY AND CHEMICALS,18,131,69851025972098.0
CHEMICALS,17,139,491159142155557.0
PLASTICS & PACKAGING,17,126,107544906823978.0
INSURANCE,17,124,30185777517811.0
METAL AND MINERAL MINING,16,109,546855320146900.0
FINANCIAL INSTITUTION,16,103,92823133827656.0
ENERGY,15,111,73305095291923.0
PHARMACEUTICALS,13,53,89197126240502.0
CRUDE PETROLEUM & NATURAL GAS PROD.,12,86,132225829094817.0
PULP & PAPER,10,54,88262477962105.0
OTHERS - CONSUMER GOODS INDUSTRY,10,64,13722142532466.0
HOUSEWARE,10,77,11707877727665.0
FISHERY,10,81,6057157905548.0
OTHERS - FINANCE,9,86,763596476485667.0
COSMETICS AND HOUSEHOLD,8,57,80926188352735.0
NON BUILDING CONSTRUCTION,7,50,74979997390941.0
CEMENT,7,42,35464165450422.0
OTHERS - MISCELLANENEOUS INDUSTRY,7,48,12283208522268.0
WOOD INDUSTRIES,7,46,5603879102978.0
CABLE,7,54,5448149084776.0
"OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO",6,41,26732874974676.0
MACHINERY AND HEAVY EQUIPMENT,6,34,9949714800136.0
"CERAMICS, GLASS, PORCELAIN",6,39,9303939596713.0
"TOLL ROAD, AIRPORT, HARBOR & ALLIED PROD.",5,29,37030036419157.0
SECURITIES COMPANY,5,64,9184824804168.0
ANIMAL HUSBANDRY,5,32,5450080922866.0
OTHER SECTORS,5,31,3549083574498.0
LAND/STONE QUARRYING,4,31,316358704160546.0
TOBACCO MANUFACTURERS,4,23,102500802831725.0
ANIMAL FEED,4,31,82388007228875.0
ELECTRONICS,4,18,2261977793906.0
CROPS,3,28,53828524125300.0
OTHERS - AGRICULTURE,2,17,21023785338500.0
OTHERS - MINING,2,13,3242227927874.0
FORESTRY,2,17,634662284742.0
FOOTWEAR,2,6,117571771312.0
